Editora,Total,Novos
Cengage Learning Brasil,233,0
Cengage Learning Editores SA de CV,1,0
Cengage Learning US,0,0
Cortez,11,0
Editora Alta Books,127,0
Editora Blucher,564,1
Editora Contexto,28,0
Editora Empreende,25,0
Editora Manole,116,0
Editora Saraiva,837,0
Editora Trevisan,38,0
Editora Unijuí,20,0
Grupo A,1169,2
Grupo Almedina,3,0
Grupo Almedina (Portugal),33,0
Grupo Autêntica,86,2
Grupo GEN,785,1
MedBook Editora,1,0
Saint Paul Publishing (Brazil),2,0
Thieme Brazil,5,0
Thieme Medical Publishers Inc.,0,0


